time,no1_el,no2_el,no3_el,no4_el,no1_rt,no2_rt,no3_rt,no4_rt,abs
2018-07-25 PM 12:00,71.10,66.91,70.99,58.47,1148.91,964.17,1032.23,817.64,6.32
2018-07-25 PM 1:00,71.42,66.77,71.14,58.75,1140.37,960.85,1031.72,821.94,6.6
2018-07-25 PM 2:00,71.93,67.37,72.03,59.39,1150.46,977.42,1046.01,834.39,7.14
2018-07-25 PM 3:00,71.78,67.02,71.67,59.05,1133.86,964.57,1038.97,814.37,7.69
2018-07-25 PM 4:00,71.72,66.67,70.41,58.21,1124.24,952.26,1066.44,789.03,8.46
2018-07-25 PM 5:00,71.11,66.68,70.24,57.81,1118.53,959.96,1070.40,789.41,8.27
2018-07-25 PM 6:00,70.85,66.90,69.91,56.83,1108.61,983.34,1065.93,780.06,7.31
2018-07-25 PM 7:00,70.81,67.08,68.00,57.11,1115.49,1005.17,1049.80,783.90,6.84
2018-07-25 PM 8:00,70.50,66.61,64.94,54.46,1109.38,1000.36,1013.37,757.31,6.15
2018-07-25 PM 9:00,70.79,66.39,61.21,54.41,1130.83,1002.94,977.06,762.90,5.6
2018-07-25 PM 10:00,70.68,65.94,63.08,56.91,1141.45,974.43,1003.32,799.84,5.19
2018-07-25 PM 11:00,70.46,69.49,67.15,57.52,1124.88,934.53,1033.72,794.55,5.48
2018-07-26 AM 12:00,70.22,68.28,67.09,56.55,1120.78,933.43,1028.69,781.00,5.49
2018-07-26 AM 1:00,70.11,66.89,66.55,55.18,1126.37,930.80,1021.21,762.76,5.5
2018-07-26 AM 2:00,70.37,66.75,67.54,56.22,1134.10,940.21,969.65,775.07,5.61
2018-07-26 AM 3:00,70.51,66.67,70.10,57.43,1148.96,953.95,1005.59,784.49,5.62
2018-07-26 AM 4:00,69.59,66.72,69.77,54.81,1138.88,961.88,997.90,758.56,5.72
2018-07-26 AM 5:00,64.60,66.75,68.16,51.58,1075.13,987.39,980.40,723.32,5.5
2018-07-26 AM 6:00,63.36,64.15,65.91,53.52,1065.38,956.37,960.18,750.66,5.84
2018-07-26 AM 7:00,64.78,65.38,68.67,56.30,1088.13,970.47,992.21,777.85,6.34
2018-07-26 AM 8:00,68.22,64.97,69.63,56.71,1129.64,955.53,998.03,775.25,6.12
2018-07-26 AM 9:00,67.44,67.19,69.69,57.04,1130.59,940.68,1001.71,785.35,6.31
2018-07-26 AM 10:00,67.50,68.13,70.00,58.03,1137.92,931.08,1004.95,794.46,6.57
2018-07-26 AM 11:00,67.20,67.13,70.26,57.88,1129.05,928.74,1000.69,787.24,6.69
2018-07-26 PM 12:00,69.41,66.79,70.89,58.48,1141.36,941.45,1012.87,791.21,6.96
2018-07-26 PM 1:00,69.98,66.67,70.55,58.49,1154.84,946.43,1006.63,793.40,6.75
2018-07-26 PM 2:00,69.81,66.87,70.37,58.24,1166.93,968.00,1000.20,797.49,6.95
2018-07-26 PM 3:00,69.96,67.00,70.26,58.13,1134.74,990.90,1000.67,797.51,6.84
2018-07-26 PM 4:00,70.39,67.23,70.06,57.99,1145.97,1001.43,999.95,788.32,6.51
2018-07-26 PM 5:00,70.41,67.94,70.37,57.63,1171.55,1005.89,1005.66,785.83,6.06
2018-07-26 PM 6:00,69.06,67.53,69.87,57.45,1145.49,950.99,994.89,778.63,5.67
2018-07-26 PM 7:00,68.21,68.97,70.28,57.82,1109.11,922.41,999.88,786.46,5.64
2018-07-26 PM 8:00,69.87,67.87,70.77,58.32,1143.34,930.57,1005.87,794.85,5.22
2018-07-26 PM 9:00,69.91,66.77,70.79,58.65,1171.30,940.51,1016.06,808.42,5.65
2018-07-26 PM 10:00,70.23,66.66,70.96,58.33,1154.36,948.78,1020.65,807.59,5.56
2018-07-26 PM 11:00,70.44,66.66,70.87,58.24,1167.52,958.81,1021.83,807.72,5.48
2018-07-27 AM 12:00,69.86,66.84,70.12,57.49,1174.28,975.55,1006.78,789.14,5.41
2018-07-27 AM 1:00,67.56,65.98,69.41,55.02,1130.04,990.57,999.29,763.30,5.49
2018-07-27 AM 2:00,66.04,62.56,68.34,54.77,1092.31,929.92,988.45,757.76,5.65
2018-07-27 AM 3:00,66.61,62.14,67.20,55.03,1114.24,917.15,978.59,757.29,5.35
2018-07-27 AM 4:00,66.46,62.61,67.28,55.20,1133.55,923.09,979.41,767.57,5.44
2018-07-27 AM 5:00,62.80,62.63,67.03,54.51,1068.22,922.43,976.98,759.15,5.45
2018-07-27 AM 6:00,65.88,67.55,68.03,56.99,1107.32,930.14,988.68,788.00,5.89
2018-07-27 AM 7:00,66.65,67.56,69.25,57.15,1128.82,918.06,991.70,781.53,6.02
2018-07-27 AM 8:00,65.75,66.70,69.83,57.35,1088.87,924.79,994.33,782.19,6.11
2018-07-27 AM 9:00,69.53,66.74,70.08,58.08,1150.67,940.22,994.86,791.90,6.89
2018-07-27 AM 10:00,70.10,67.07,70.00,58.39,1157.52,961.42,988.50,796.68,7.16
2018-07-27 AM 11:00,70.01,67.02,70.44,58.68,1134.69,982.14,1000.16,798.72,7.28
2018-07-27 PM 12:00,70.91,67.55,71.00,59.19,1145.01,987.95,1003.27,806.28,7.23
2018-07-27 PM 1:00,70.24,68.27,70.96,58.93,1162.84,991.00,1001.36,804.70,7.27
2018-07-27 PM 2:00,69.89,68.81,71.29,59.26,1139.07,946.45,1003.91,799.03,7.52
2018-07-27 PM 3:00,70.24,69.84,71.70,59.63,1146.71,939.74,1017.39,795.13,7.74
2018-07-27 PM 4:00,70.05,68.29,71.29,59.21,1154.07,928.95,1007.68,794.97,7.78
2018-07-27 PM 5:00,69.93,66.96,70.87,58.51,1157.55,926.15,1006.63,789.76,8
