time,no1_el,no2_el,no3_el,no4_el,no1_rt,no2_rt,no3_rt,no4_rt,abs
2018-08-20 PM 5:00,63.82,65.54,63.45,54.60,1085.16,1015.63,1010.01,773.90,3.69
2018-08-20 PM 6:00,59.98,64.40,61.18,51.34,1031.86,963.01,982.88,728.00,3.45
2018-08-20 PM 7:00,57.97,62.96,59.09,50.12,1002.96,954.12,956.72,712.82,3.57
2018-08-20 PM 8:00,58.33,62.34,59.68,51.18,1006.66,959.18,967.82,737.13,3.51
2018-08-20 PM 9:00,58.33,61.78,59.83,50.92,1006.14,958.47,970.66,736.50,3.44
2018-08-20 PM 10:00,58.22,61.34,59.49,49.50,1001.81,952.01,962.59,707.73,3.02
2018-08-20 PM 11:00,58.10,60.93,58.89,48.77,997.26,946.44,955.96,705.82,2.67
2018-08-21 AM 12:00,58.22,60.07,58.84,50.08,1004.46,954.15,957.32,723.04,2.31
2018-08-21 AM 1:00,58.35,59.56,59.46,50.92,1008.92,958.38,968.48,728.84,2.13
2018-08-21 AM 2:00,58.39,59.47,59.53,50.44,1004.39,953.09,961.80,724.18,2.51
2018-08-21 AM 3:00,58.31,59.51,59.25,50.32,1002.73,958.91,965.44,725.58,2.46
2018-08-21 AM 4:00,58.40,59.73,60.25,50.67,1009.18,957.87,980.90,730.95,1.75
2018-08-21 AM 5:00,58.16,59.61,59.31,49.12,1001.77,947.26,962.10,701.11,1.92
2018-08-21 AM 6:00,57.91,59.49,57.99,48.40,995.23,944.95,945.66,686.97,2.04
2018-08-21 AM 7:00,58.28,59.90,58.51,50.04,1002.93,950.80,951.98,720.51,2.06
2018-08-21 AM 8:00,61.59,61.98,63.87,54.26,1056.29,986.12,1020.61,772.25,2.34
2018-08-21 AM 9:00,65.03,65.98,67.92,56.19,1091.54,1027.20,1054.11,809.93,3.17
2018-08-21 AM 10:00,66.95,66.87,68.81,57.72,1121.11,1034.27,1060.50,820.15,3.31
2018-08-21 AM 11:00,69.02,67.63,69.22,58.20,1147.59,1027.07,1055.31,829.14,3.65
2018-08-21 PM 12:00,69.98,68.09,69.36,58.65,1155.93,1024.48,1053.05,821.90,3.75
2018-08-21 PM 1:00,70.11,68.39,69.33,58.00,1146.80,1016.64,1047.20,802.46,3.62
2018-08-21 PM 2:00,67.81,66.96,68.26,55.47,1147.22,1017.46,1046.20,785.79,3.45
2018-08-21 PM 3:00,66.13,67.86,68.87,55.72,1103.39,1009.95,1035.08,787.47,3.56
2018-08-21 PM 4:00,69.80,68.71,70.00,58.52,1163.32,1023.42,1051.94,814.41,3.57
2018-08-21 PM 5:00,70.14,68.76,70.10,58.42,1171.69,1022.36,1053.56,815.70,3.56
2018-08-21 PM 6:00,69.78,68.48,69.83,57.97,1172.78,1024.62,1057.37,807.27,3.52
2018-08-21 PM 7:00,70.01,68.10,69.62,58.14,1187.07,1030.22,1060.23,825.38,3.55
2018-08-21 PM 8:00,69.78,67.98,69.55,58.20,1186.88,1032.44,1059.23,831.92,3.44
2018-08-21 PM 9:00,70.06,67.96,69.45,58.06,1200.52,1031.90,1060.53,831.14,3.53
2018-08-21 PM 10:00,69.80,67.60,68.96,56.71,1189.63,1017.82,1047.76,811.53,3.57
2018-08-21 PM 11:00,67.03,67.47,68.54,53.23,1152.90,1012.46,1040.20,766.53,3.46
2018-08-22 AM 12:00,63.84,67.34,68.85,55.14,1127.62,1026.13,1052.90,790.49,3.34
2018-08-22 AM 1:00,66.09,67.29,68.87,55.37,1131.26,1018.36,1048.74,789.77,3.4
2018-08-22 AM 2:00,65.53,67.42,68.77,53.96,1147.19,1011.11,1041.67,767.83,2.65
2018-08-22 AM 3:00,65.16,67.71,69.10,56.02,1104.98,1016.54,1046.80,795.20,3.02
2018-08-22 AM 4:00,66.73,67.47,69.10,56.51,1146.38,1027.73,1054.36,800.22,2.51
2018-08-22 AM 5:00,65.85,66.90,68.42,53.58,1140.31,1018.72,1047.25,773.64,2.12
2018-08-22 AM 6:00,62.89,67.10,68.37,52.59,1117.68,1012.03,1042.41,752.48,2.29
2018-08-22 AM 7:00,63.99,67.61,69.03,55.29,1109.26,1017.62,1047.37,789.48,2.39
2018-08-22 AM 8:00,67.54,67.88,69.66,57.82,1153.12,1026.85,1057.95,821.42,2.5
2018-08-22 AM 9:00,69.45,68.08,69.92,58.30,1171.70,1032.62,1063.01,819.21,2.78
2018-08-22 AM 10:00,70.79,67.88,71.01,58.15,1227.96,1025.32,1125.10,821.37,2.84
2018-08-22 AM 11:00,67.76,67.83,70.66,58.16,1198.51,1022.94,1127.92,834.05,2.83
2018-08-22 PM 12:00,68.56,67.98,70.75,58.14,1175.00,1030.82,1134.37,822.32,2.99
2018-08-22 PM 1:00,71.15,68.14,70.75,58.13,1204.51,1021.60,1126.48,813.29,2.54
2018-08-22 PM 2:00,69.86,68.34,70.54,57.92,1169.85,1018.71,1120.78,806.86,2.49
2018-08-22 PM 3:00,70.62,68.25,70.50,58.16,1212.45,1021.47,1127.31,811.77,2.76
2018-08-22 PM 4:00,69.30,68.16,70.39,57.80,1208.13,1023.37,1128.78,812.66,2.77
2018-08-22 PM 5:00,66.44,67.79,70.05,57.36,1152.35,1028.07,1133.40,808.85,2.75
2018-08-22 PM 6:00,67.63,67.37,70.14,56.66,1156.62,1020.39,1135.20,803.54,2.45
2018-08-22 PM 7:00,64.58,67.30,69.80,56.14,1144.27,1018.40,1129.40,800.41,2.58
2018-08-22 PM 8:00,66.60,67.65,69.73,57.97,1135.65,1030.07,1083.44,824.98,2.61
2018-08-22 PM 9:00,68.72,67.82,70.17,57.58,1165.28,1020.60,1058.06,816.57,2.7
2018-08-22 PM 10:00,68.93,68.09,70.16,56.05,1174.50,1012.62,1051.70,791.72,2.62
2018-08-22 PM 11:00,66.47,68.00,69.88,55.37,1157.58,1010.67,1047.47,788.57,2.57
2018-08-23 AM 12:00,65.30,67.80,69.95,55.49,1116.30,1021.57,1055.55,784.72,2.6
2018-08-23 AM 1:00,66.33,67.37,69.26,56.14,1138.05,1022.72,1050.71,796.80,2.65
2018-08-23 AM 2:00,65.30,67.22,68.55,54.39,1110.87,1015.95,1041.16,773.31,2.6
2018-08-23 AM 3:00,67.12,67.59,68.65,55.36,1159.54,1009.41,1037.52,790.32,2.6
2018-08-23 AM 4:00,63.75,67.44,68.54,55.21,1116.78,1013.81,1038.10,792.19,2.43
2018-08-23 AM 5:00,63.25,66.80,68.34,53.68,1095.97,1019.25,1047.49,775.56,2.59
2018-08-23 AM 6:00,62.27,66.82,67.97,52.77,1095.50,1025.90,1042.49,768.62,2.22
2018-08-23 AM 7:00,64.15,67.57,68.37,54.87,1122.96,1035.58,1045.88,792.75,2.43
2018-08-23 AM 8:00,65.78,68.53,69.07,57.93,1157.82,1034.30,1044.97,827.21,2.68
2018-08-23 AM 9:00,69.74,68.97,69.41,58.23,1170.09,1040.41,1048.60,823.87,3.03
2018-08-23 AM 10:00,70.36,68.94,68.94,57.52,1178.32,1024.86,1035.72,807.78,2.59
2018-08-23 AM 11:00,69.08,68.24,68.66,56.84,1182.38,967.06,1029.86,795.38,2.69
2018-08-23 PM 12:00,66.48,67.63,68.87,57.12,1147.21,956.70,1038.21,801.94,2.45
2018-08-23 PM 1:00,69.05,66.61,69.10,57.71,1153.91,963.32,1039.40,806.64,2.49
2018-08-23 PM 2:00,68.16,66.74,68.79,56.22,1171.74,983.35,1032.30,791.40,2.53
2018-08-23 PM 3:00,65.57,66.43,68.84,55.68,1127.39,1003.87,1032.54,789.06,2.55
2018-08-23 PM 4:00,66.50,67.07,68.63,55.27,1110.07,1022.29,1029.53,786.26,2.46
2018-08-23 PM 5:00,66.18,66.81,68.51,54.49,1147.31,1023.89,1028.50,777.93,2.47
2018-08-23 PM 6:00,65.24,67.57,68.89,56.25,1103.39,1024.89,1032.53,796.66,2.48
2018-08-23 PM 7:00,68.10,68.43,69.04,57.44,1158.51,1027.32,1032.15,804.96,2.7
2018-08-23 PM 8:00,68.04,68.03,69.34,58.05,1158.38,1014.90,1037.48,821.02,3.2
2018-08-23 PM 9:00,69.64,67.64,69.09,57.73,1154.25,997.71,1037.22,817.37,3.36
2018-08-23 PM 10:00,67.40,68.01,68.28,54.57,1159.56,1000.13,1034.67,781.81,3.45
2018-08-23 PM 11:00,60.23,68.45,68.24,53.07,1054.34,990.32,1025.60,756.38,3.49
2018-08-24 AM 12:00,61.93,66.99,68.59,54.42,1068.77,992.35,1031.40,773.67,3.32
2018-08-24 AM 1:00,61.53,66.43,68.59,54.31,1064.94,1000.65,1027.20,770.69,3.25
2018-08-24 AM 2:00,61.74,67.24,68.32,54.02,1061.23,1021.51,1027.41,771.66,3.41
2018-08-24 AM 3:00,62.28,67.85,68.49,55.32,1064.94,1028.51,1034.41,790.43,3.48
2018-08-24 AM 4:00,63.57,68.03,68.30,55.62,1110.16,1027.48,1031.69,790.27,3.44
2018-08-24 AM 5:00,59.72,68.32,68.21,53.91,1029.35,1025.55,1028.92,773.55,3.37
2018-08-24 AM 6:00,60.54,68.58,68.23,53.43,1044.08,1030.38,1025.69,762.04,3.45
2018-08-24 AM 7:00,60.93,68.47,67.98,52.38,1056.62,1022.90,1024.69,752.18,3.5
2018-08-24 AM 8:00,58.10,68.04,67.74,51.17,1020.02,1017.49,1021.88,736.64,3.55
2018-08-24 AM 9:00,61.50,67.92,68.35,54.51,1073.17,965.33,1029.44,778.07,3.2
2018-08-24 AM 10:00,61.22,66.71,68.49,55.39,1065.94,952.49,1033.40,786.52,3.11
2018-08-24 AM 11:00,62.82,66.72,68.65,56.30,1084.87,984.82,1037.62,795.70,3.16
2018-08-24 PM 12:00,63.84,67.08,68.59,55.97,1096.50,1018.97,1038.00,795.32,3.09
2018-08-24 PM 1:00,63.20,67.20,68.75,56.27,1103.51,1027.79,1033.51,785.40,3.2
2018-08-24 PM 2:00,63.57,66.97,68.79,56.01,1090.66,1034.22,1039.03,784.74,3.3
2018-08-24 PM 3:00,64.37,67.37,68.88,57.82,1099.73,1035.92,1041.93,814.55,3.29
2018-08-24 PM 4:00,66.06,68.22,69.19,58.33,1162.98,1044.29,1047.86,827.14,3.31
2018-08-24 PM 5:00,66.12,68.31,68.95,58.12,1129.71,1052.31,1050.96,826.92,3.4
2018-08-24 PM 6:00,64.74,68.11,68.26,56.61,1126.03,1036.08,1037.84,809.36,3.25
2018-08-24 PM 7:00,60.11,68.17,68.21,54.01,1058.87,1038.02,1038.74,776.53,3.22
2018-08-24 PM 8:00,59.25,67.64,67.60,51.74,1033.12,1032.09,1033.35,750.20,3.1
2018-08-24 PM 9:00,57.51,66.49,67.11,49.82,1021.71,1028.25,1040.31,725.21,2.77
2018-08-24 PM 10:00,57.52,65.89,64.87,49.48,1038.80,976.23,1022.45,719.70,2.79
2018-08-24 PM 11:00,54.82,64.78,64.40,50.15,1003.60,969.19,1013.62,743.98,2.79
2018-08-25 AM 12:00,54.36,63.81,64.30,49.45,988.38,977.16,1016.71,730.48,2.75
2018-08-25 AM 1:00,55.12,62.85,63.53,48.92,1008.48,968.29,1007.52,723.56,2.92
2018-08-25 AM 2:00,53.27,61.77,62.84,49.40,993.49,959.75,1003.00,725.43,3.44
2018-08-25 AM 3:00,53.24,61.04,62.43,48.11,970.33,958.39,996.79,707.15,3.73
2018-08-25 AM 4:00,52.79,58.56,59.11,46.59,961.60,937.97,959.27,671.56,3.64
2018-08-25 AM 5:00,52.31,58.32,58.15,46.27,945.90,940.27,946.84,669.73,3.45
2018-08-25 AM 6:00,52.05,58.36,57.59,46.47,936.97,937.72,940.78,671.12,3.83
2018-08-25 AM 7:00,51.97,58.50,57.48,47.24,932.09,936.83,939.08,685.86,3.11
2018-08-25 AM 8:00,51.90,58.43,57.27,46.69,925.69,934.26,934.49,675.73,3.08
2018-08-25 AM 9:00,52.21,58.64,57.18,46.52,923.86,932.41,934.18,667.44,2.82
2018-08-25 AM 10:00,53.20,58.78,57.18,46.78,924.10,933.44,930.06,671.87,3.09
2018-08-25 AM 11:00,54.14,59.18,58.32,48.05,932.78,940.74,947.19,695.24,3.17
2018-08-25 PM 12:00,56.63,60.01,61.76,49.08,961.88,947.21,986.27,716.49,3.08
2018-08-25 PM 1:00,56.87,60.27,61.94,48.12,957.60,943.61,982.25,697.94,3.06
2018-08-25 PM 2:00,57.97,61.77,63.14,49.86,980.70,964.84,998.52,728.37,3.05
2018-08-25 PM 3:00,57.88,64.41,62.85,48.89,980.42,962.16,998.22,704.49,2.71
2018-08-25 PM 4:00,56.80,62.91,60.00,47.90,965.81,936.60,960.91,683.90,2.31
2018-08-25 PM 5:00,56.68,61.77,59.70,47.44,962.85,934.17,957.86,680.35,2.23
2018-08-25 PM 6:00,56.80,61.28,59.81,48.00,963.08,937.09,957.66,694.83,2.36
2018-08-25 PM 7:00,56.92,61.08,59.97,47.68,960.76,934.37,956.66,685.48,2.23
2018-08-25 PM 8:00,56.72,60.62,59.70,46.75,957.98,926.97,952.53,672.55,2.11
2018-08-25 PM 9:00,56.07,59.57,58.48,46.69,957.15,929.82,943.97,673.80,2.47
2018-08-25 PM 10:00,55.09,58.85,58.59,48.30,943.48,944.91,952.07,701.05,2.98
2018-08-25 PM 11:00,55.28,58.81,58.89,47.31,934.28,934.74,945.50,684.22,3.01
2018-08-26 AM 12:00,55.33,58.83,58.89,47.58,935.62,933.26,945.77,685.79,2.43
2018-08-26 AM 1:00,56.36,59.48,61.25,49.02,946.85,937.80,1029.49,719.65,2.59
2018-08-26 AM 2:00,58.15,61.34,58.77,50.16,969.98,953.13,1000.55,736.41,3.15
2018-08-26 AM 3:00,59.08,62.93,58.78,51.13,984.13,978.05,1005.22,744.01,3.6
2018-08-26 AM 4:00,59.13,63.41,58.74,50.16,978.14,976.45,999.77,729.47,3.76
2018-08-26 AM 5:00,58.84,62.16,58.22,47.66,961.55,945.61,979.80,692.92,3.75
2018-08-26 AM 6:00,59.20,62.59,57.87,48.53,965.76,947.66,975.55,702.47,3.69
2018-08-26 AM 7:00,58.76,65.76,57.46,47.40,962.94,943.45,974.56,678.86,3.6
2018-08-26 AM 8:00,56.87,62.49,54.40,45.05,950.94,913.09,945.11,643.55,2.64
2018-08-26 AM 9:00,54.34,60.88,51.88,44.26,930.52,929.73,924.18,643.56,2.16
2018-08-26 AM 10:00,54.06,60.06,51.23,43.02,919.43,918.61,854.06,622.10,1.82
2018-08-26 AM 11:00,53.99,59.67,53.18,42.16,917.22,915.35,859.35,610.79,2.28
2018-08-26 PM 12:00,54.20,59.10,54.69,42.79,920.27,920.66,885.82,620.08,2.69
2018-08-26 PM 1:00,54.13,58.18,54.95,42.26,918.05,918.82,887.32,611.17,2.39
2018-08-26 PM 2:00,54.32,58.12,55.28,42.86,922.38,920.76,894.25,625.53,2.2
2018-08-26 PM 3:00,54.30,58.12,55.63,43.33,919.15,922.48,897.25,626.78,2.05
2018-08-26 PM 4:00,54.07,58.02,55.31,42.36,914.54,915.71,891.20,607.22,2.09
2018-08-26 PM 5:00,53.87,57.91,54.95,42.01,914.53,914.65,891.29,600.45,1.95
2018-08-26 PM 6:00,54.05,58.17,54.96,41.98,915.09,915.45,885.68,605.68,1.9
2018-08-26 PM 7:00,54.12,58.35,55.04,42.55,919.68,917.93,890.47,619.81,2.22
2018-08-26 PM 8:00,54.11,58.37,55.31,42.90,914.31,918.95,895.13,623.86,2.04
2018-08-26 PM 9:00,53.86,58.23,53.54,40.95,908.07,905.08,866.56,587.94,2.07
2018-08-26 PM 10:00,53.86,58.19,52.63,41.09,911.18,907.99,856.10,590.15,2.25
2018-08-26 PM 11:00,54.14,58.50,53.00,42.23,914.28,913.55,860.86,610.99,3.09
2018-08-27 AM 12:00,54.27,58.60,54.50,43.18,920.71,919.51,885.95,630.53,2.85
2018-08-27 AM 1:00,54.49,58.86,57.23,44.55,922.78,923.68,922.03,648.10,2.86
2018-08-27 AM 2:00,55.65,59.29,60.50,46.60,935.69,921.01,955.79,677.98,3.08
2018-08-27 AM 3:00,58.33,59.96,63.33,47.34,965.13,915.40,977.47,691.07,3.13
2018-08-27 AM 4:00,58.36,62.58,63.87,47.05,964.47,923.84,983.54,682.92,3.24
2018-08-27 AM 5:00,58.12,64.13,63.60,46.44,958.35,919.52,977.42,664.79,3.15
2018-08-27 AM 6:00,58.00,62.56,63.53,45.50,958.07,912.99,975.98,660.47,3.41
2018-08-27 AM 7:00,58.45,62.05,63.83,46.56,957.53,914.21,978.22,680.45,3.29
2018-08-27 AM 8:00,63.06,65.56,67.17,50.14,1018.29,976.15,1010.05,723.55,3.23
2018-08-27 AM 9:00,63.59,64.39,67.03,50.54,1030.06,982.91,1011.29,729.47,3.35
2018-08-27 AM 10:00,63.12,63.76,67.17,51.08,1030.43,982.02,1009.46,739.35,3.23
2018-08-27 AM 11:00,64.44,65.14,67.65,53.04,1043.56,1003.79,1014.15,766.88,3.31
2018-08-27 PM 12:00,64.89,65.92,67.43,53.16,1050.47,1012.68,1012.71,765.72,3.33
2018-08-27 PM 1:00,65.21,66.71,67.77,53.36,1056.00,1011.93,1011.79,760.24,3.04
2018-08-27 PM 2:00,65.23,66.99,67.78,52.50,1048.03,1005.07,1008.91,750.93,2.88
2018-08-27 PM 3:00,64.94,67.02,67.49,52.68,1050.87,1009.99,1009.96,752.66,3.38
2018-08-27 PM 4:00,64.56,66.99,67.14,51.01,1057.12,1002.48,1015.18,733.33,3.41
2018-08-27 PM 5:00,63.56,67.28,66.72,49.04,1040.32,956.25,1006.48,712.63,3.4
2018-08-27 PM 6:00,59.10,62.47,65.19,47.11,999.29,926.72,1008.41,685.07,3.01
2018-08-27 PM 7:00,58.17,61.00,61.87,46.72,987.15,923.32,973.07,680.17,2.7
2018-08-27 PM 8:00,59.10,61.70,63.86,48.20,989.81,925.60,985.80,705.48,2.94
2018-08-27 PM 9:00,59.12,61.60,66.01,48.82,992.92,953.86,1013.62,712.50,2.31
2018-08-27 PM 10:00,58.91,59.97,65.38,47.21,989.07,937.70,1007.56,685.17,2.21
2018-08-27 PM 11:00,59.39,60.50,65.50,47.83,991.58,943.27,1005.73,701.16,2.46
2018-08-28 AM 12:00,59.90,61.76,66.85,49.26,996.86,960.72,1019.30,715.50,2.18
2018-08-28 AM 1:00,60.04,62.35,67.00,48.24,993.64,962.60,1015.30,705.51,2.8
2018-08-28 AM 2:00,60.02,62.51,67.01,48.01,989.60,958.27,1014.59,703.96,3.02
2018-08-28 AM 3:00,59.90,62.20,66.82,47.43,993.36,954.08,1012.74,691.86,2.79
2018-08-28 AM 4:00,60.45,62.74,67.15,48.79,1009.51,969.38,1024.03,716.75,2.59
2018-08-28 AM 5:00,61.92,63.90,67.19,50.60,1025.53,987.27,1024.61,753.41,2.35
2018-08-28 AM 6:00,61.80,64.68,67.22,49.84,1019.36,982.15,1018.69,732.95,2.94
2018-08-28 AM 7:00,61.85,67.47,67.35,50.08,1019.86,985.52,1021.96,734.17,3.11
2018-08-28 AM 8:00,61.89,66.90,67.32,50.11,1020.24,987.53,1022.91,726.73,3.09
2018-08-28 AM 9:00,62.56,66.08,70.16,50.19,1025.60,992.18,1092.36,719.41,3.1
2018-08-28 AM 10:00,62.29,63.72,65.57,48.77,1028.18,985.00,1073.53,704.42,2.65
2018-08-28 AM 11:00,61.26,61.02,60.59,48.09,1015.47,947.31,1020.82,701.07,2.1
2018-08-28 PM 12:00,61.43,61.86,61.12,49.53,1024.72,958.30,1029.37,726.60,2.64
2018-08-28 PM 1:00,61.70,63.13,62.17,50.10,1027.54,977.33,1044.71,734.62,2.84
2018-08-28 PM 2:00,63.11,64.80,64.18,51.55,1048.96,1005.92,1072.79,755.23,2.63
2018-08-28 PM 3:00,62.95,64.21,63.53,49.82,1046.50,995.95,1064.44,728.15,2.54
2018-08-28 PM 4:00,61.39,63.14,59.78,47.25,1024.21,949.79,1018.82,680.91,2.51
2018-08-28 PM 5:00,61.16,64.26,58.59,47.23,1025.37,941.95,1005.84,686.41,2.31
2018-08-28 PM 6:00,60.17,62.63,61.58,47.93,1013.55,940.60,967.71,686.11,2.08
2018-08-28 PM 7:00,56.16,61.15,60.33,45.27,948.24,920.44,947.28,641.63,2.03
2018-08-28 PM 8:00,56.76,61.41,61.95,46.10,948.64,924.94,962.24,663.41,2.6
2018-08-28 PM 9:00,60.61,63.33,66.06,47.00,960.57,915.75,979.05,672.64,3.19
2018-08-28 PM 10:00,64.24,64.97,68.15,47.50,990.78,949.25,989.49,679.34,3.84
2018-08-28 PM 11:00,62.79,63.56,66.98,47.45,982.47,937.28,977.72,676.49,3.2
2018-08-29 AM 12:00,61.95,62.59,66.50,46.82,981.55,923.36,973.06,665.54,3.17
2018-08-29 AM 1:00,62.49,62.72,66.71,46.23,983.16,918.35,969.57,651.75,3.36
2018-08-29 AM 2:00,62.79,62.91,66.85,46.73,982.24,916.92,971.10,664.00,3.36
2018-08-29 AM 3:00,63.18,63.76,67.30,48.67,991.83,929.73,978.47,697.38,3.36
2018-08-29 AM 4:00,62.52,63.85,66.88,47.81,984.50,927.91,972.43,685.13,3
2018-08-29 AM 5:00,61.78,64.12,66.81,46.21,978.65,924.85,975.38,663.03,3.03
2018-08-29 AM 6:00,61.66,66.70,66.42,45.71,970.57,893.13,970.63,646.83,3.01
2018-08-29 AM 7:00,61.89,65.60,66.68,46.26,974.05,901.76,973.33,662.52,3.58
2018-08-29 AM 8:00,64.56,67.19,67.45,48.83,1001.21,954.49,979.18,702.35,3.67
2018-08-29 AM 9:00,66.69,67.02,67.78,50.38,1028.53,968.02,977.48,719.55,3.64
2018-08-29 AM 10:00,67.64,66.36,68.01,50.91,1039.90,967.74,977.49,716.46,3.9
2018-08-29 AM 11:00,66.49,66.85,67.28,50.36,1044.23,991.10,977.29,712.95,3.77
2018-08-29 PM 12:00,66.16,67.43,67.55,48.78,1033.38,988.11,972.89,680.96,3.79
2018-08-29 PM 1:00,67.84,68.32,68.34,53.02,1049.96,992.17,983.45,733.20,3.95
2018-08-29 PM 2:00,67.33,66.68,67.89,52.77,1039.52,958.21,977.65,727.98,3.94
2018-08-29 PM 3:00,66.90,67.83,67.66,52.24,1041.27,947.87,975.45,721.57,3.95
2018-08-29 PM 4:00,66.88,67.29,67.82,50.91,1043.51,886.22,978.53,710.08,3.98
2018-08-29 PM 5:00,66.95,67.09,68.07,51.57,1046.42,917.61,983.11,715.80,4.31
2018-08-29 PM 6:00,66.86,67.15,67.99,51.78,1044.93,949.66,983.83,727.63,4.4
2018-08-29 PM 7:00,66.44,67.08,67.77,52.25,1041.17,971.46,979.26,728.92,4.36
2018-08-29 PM 8:00,66.08,67.09,67.44,49.79,1033.00,980.44,973.41,695.71,4.33
2018-08-29 PM 9:00,64.18,66.89,69.70,48.36,1003.72,977.22,1032.31,676.57,3.89
2018-08-29 PM 10:00,64.56,64.79,65.67,47.59,1004.06,944.16,1015.29,663.90,3.79
2018-08-29 PM 11:00,65.46,65.68,65.61,48.72,1013.94,946.85,1019.74,684.50,3.71
2018-08-30 AM 12:00,65.50,67.45,65.73,48.51,1014.58,904.43,1021.29,685.37,3.71
2018-08-30 AM 1:00,65.61,66.70,66.53,49.21,1015.68,907.78,1033.27,700.46,3.64
2018-08-30 AM 2:00,65.64,67.02,67.27,50.49,1007.01,939.64,1031.28,712.54,3.55
2018-08-30 AM 3:00,66.31,66.91,67.87,50.78,1023.00,965.79,1043.85,718.92,3.64
2018-08-30 AM 4:00,66.41,66.76,68.32,50.48,1024.27,974.55,1045.62,716.36,3.85
2018-08-30 AM 5:00,65.24,66.84,65.33,48.41,1008.46,979.34,1014.52,680.15,3.83
2018-08-30 AM 6:00,64.89,65.85,63.58,47.49,1000.42,962.48,994.08,662.85,3.84
2018-08-30 AM 7:00,64.88,64.47,63.45,47.53,996.31,927.85,992.06,660.16,3.73
2018-08-30 AM 8:00,65.16,66.95,64.11,48.36,1002.60,890.77,998.64,671.07,3.81
2018-08-30 AM 9:00,65.29,66.96,65.95,50.37,1004.24,901.34,1017.40,707.52,4.18
2018-08-30 AM 10:00,66.22,67.13,67.78,51.34,1009.08,929.32,1032.86,708.76,4.36
2018-08-30 AM 11:00,66.91,66.79,68.73,51.52,1019.26,955.66,1045.08,713.24,4.3
2018-08-30 PM 12:00,66.86,66.80,68.15,51.05,1009.58,957.98,997.13,695.62,4.17
2018-08-30 PM 1:00,66.64,66.86,68.24,49.31,1007.88,961.99,958.60,672.60,4.24
2018-08-30 PM 2:00,67.10,67.24,68.57,50.30,1014.40,961.61,964.18,690.22,4.08
2018-08-30 PM 3:00,69.33,68.13,69.02,53.15,1053.78,975.29,976.95,726.55,4.83
2018-08-30 PM 4:00,69.53,67.15,68.66,53.52,1057.91,941.54,964.93,724.06,4.8
2018-08-30 PM 5:00,68.18,67.88,67.81,51.92,1044.81,889.95,956.99,708.98,4.78
2018-08-30 PM 6:00,67.41,66.84,67.48,51.54,1050.48,879.54,958.52,710.20,4.71
2018-08-30 PM 7:00,67.07,67.20,67.64,52.91,1059.14,924.95,967.35,729.95,4.75
2018-08-30 PM 8:00,66.54,67.11,67.36,52.30,1061.81,958.41,969.52,724.01,4.97
2018-08-30 PM 9:00,64.98,66.84,66.94,50.81,1045.95,970.87,963.61,706.57,4.3
2018-08-30 PM 10:00,62.49,66.74,66.71,48.32,1008.89,967.96,953.11,675.23,4.15
2018-08-30 PM 11:00,62.51,67.10,67.30,49.98,1018.81,984.06,971.02,704.54,4.11
2018-08-31 AM 12:00,62.30,67.40,67.06,50.65,1014.79,981.37,966.78,715.76,3.94
2018-08-31 AM 1:00,62.31,67.32,66.96,50.13,1021.55,978.87,970.33,715.93,3.9
2018-08-31 AM 2:00,62.55,68.11,67.04,50.10,1024.80,960.95,974.11,713.14,3.78
2018-08-31 AM 3:00,62.75,66.85,67.00,49.94,1025.11,894.55,975.69,704.98,4.02
2018-08-31 AM 4:00,62.65,67.01,66.52,48.00,1011.56,925.10,966.73,676.75,4.06
2018-08-31 AM 5:00,61.34,67.23,66.13,46.93,986.12,960.71,959.81,658.35,4.08
2018-08-31 AM 6:00,62.55,66.06,66.63,47.78,991.28,969.42,967.97,673.50,4.21
2018-08-31 AM 7:00,64.23,64.96,66.93,48.60,994.81,956.85,968.38,679.30,4.14
2018-08-31 AM 8:00,64.32,63.75,66.61,48.34,990.31,934.07,960.85,676.21,4.1
2018-08-31 AM 9:00,64.00,63.71,66.90,48.05,994.42,927.12,965.45,679.28,4.16
2018-08-31 AM 10:00,64.90,65.12,67.49,50.16,1007.98,947.12,975.31,710.40,4.06
2018-08-31 AM 11:00,67.30,66.60,67.80,53.10,1046.83,966.45,980.94,747.25,3.91
2018-08-31 PM 12:00,66.32,66.69,67.15,52.22,1045.96,970.19,974.37,733.32,3.33
2018-08-31 PM 1:00,60.34,65.74,66.00,46.48,975.86,963.40,971.81,652.37,2.91
2018-08-31 PM 2:00,59.43,65.31,64.55,45.31,964.47,897.94,965.61,642.10,3.01
2018-08-31 PM 3:00,60.19,64.46,64.95,46.30,973.08,908.53,968.24,663.64,3.16
2018-08-31 PM 4:00,62.02,65.64,66.85,48.57,987.79,955.42,987.87,693.83,3.05
2018-08-31 PM 5:00,61.67,62.01,66.17,46.71,983.70,928.22,977.97,664.31,2.41
2018-08-31 PM 6:00,61.80,61.77,66.73,47.01,999.20,935.92,989.61,677.45,1.95
2018-08-31 PM 7:00,61.50,61.71,66.51,47.14,993.16,934.04,986.16,676.58,2.09
2018-08-31 PM 8:00,61.62,61.86,66.50,47.31,998.71,937.49,990.65,685.42,1.9
2018-08-31 PM 9:00,60.74,61.06,65.92,46.34,985.94,924.93,985.71,663.40,1.95
2018-08-31 PM 10:00,54.39,58.38,59.34,41.71,906.15,894.11,922.34,591.73,1.85
2018-08-31 PM 11:00,53.33,58.56,55.39,41.15,890.13,897.59,874.60,586.00,1.68
